display_name,estimate,localized_display_name,product_id,lat,lng,time
uberSELECT,180,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
uberWAV,840,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
uberTAXI,180,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7984474286,-122.424505214,2016-04-18 17:15:17.007155
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.803337,-122.424505214,2016-04-18 17:15:17.843662
uberXL,240,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.803337,-122.424505214,2016-04-18 17:15:17.843662
uberSELECT,240,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.803337,-122.424505214,2016-04-18 17:15:17.843662
UberBLACK,240,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.803337,-122.424505214,2016-04-18 17:15:17.843662
UberSUV,240,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.803337,-122.424505214,2016-04-18 17:15:17.843662
uberWAV,900,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.803337,-122.424505214,2016-04-18 17:15:17.843662
uberTAXI,240,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.803337,-122.424505214,2016-04-18 17:15:17.843662
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.734883,-122.415284571,2016-04-18 17:15:18.893833
uberXL,120,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.734883,-122.415284571,2016-04-18 17:15:18.893833
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.734883,-122.415284571,2016-04-18 17:15:18.893833
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.734883,-122.415284571,2016-04-18 17:15:18.893833
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.734883,-122.415284571,2016-04-18 17:15:18.893833
uberWAV,540,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.734883,-122.415284571,2016-04-18 17:15:18.893833
